title,address,city,state,postal_code,price,facts and features,url,bed,bath,sqft,property_type
House For Sale,1325 Lake St,San Francisco,CA,94118,2895000.0,"6 bds , 3 ba , 2,560 sqft",https://www.zillow.com/homedetails/1325-Lake-St-San-Francisco-CA-94118/15090004_zpid/,6.0,3.0,2560.0,house
Apartment For Sale,492 498 7th Ave,San Francisco,CA,94118,2500000.0,"Studio , -- ba , 4,280 sqft",https://www.zillow.com/homedetails/492-498-7th-Ave-San-Francisco-CA-94118/2090823024_zpid/,0.0,1.9903492647058822,4280.0,apartment
House For Sale,727 16th Ave,San Francisco,CA,94118,1275000.0,"3 bds , 2 ba , 1,442 sqft",https://www.zillow.com/homedetails/727-16th-Ave-San-Francisco-CA-94118/15099128_zpid/,3.0,2.0,1442.0,house
Apartment For Sale,472-474 Euclid Ave,SAN FRANCISCO,CA,94118,3690000.0,"Studio , -- ba , 4,840 sqft",https://www.zillow.com/homedetails/472-474-Euclid-Ave-San-Francisco-CA-94118/15082748_zpid/,0.0,1.9903492647058822,4840.0,apartment
Condo For Sale,472 472 Euclid Ave # 472,San Francisco,CA,94118,1595000.0,"3 bds , 2 ba , 1,926 sqft",https://www.zillow.com/homedetails/472-472-Euclid-Ave-472-San-Francisco-CA-94118/2090833906_zpid/,3.0,2.0,1926.0,condo
Condo For Sale,472 474 Euclid Ave # 474,San Francisco,CA,94118,2095000.0,"4 bds , 3.5 ba , 2,914 sqft",https://www.zillow.com/homedetails/472-474-Euclid-Ave-474-San-Francisco-CA-94118/2090833987_zpid/,4.0,3.5,2914.0,condo
House For Sale,132 Collins St,San Francisco,CA,94118,1895000.0,"2 bds , 2 ba , 1,430 sqft",https://www.zillow.com/homedetails/132-Collins-St-San-Francisco-CA-94118/15083609_zpid/,2.0,2.0,1430.0,house
Apartment For Sale,655-657 5TH Ave,SAN FRANCISCO,CA,94118,1490000.0,"Studio , -- ba , 2,330 sqft",https://www.zillow.com/homedetails/655-657-5TH-Ave-San-Francisco-CA-94118/15098378_zpid/,0.0,1.9903492647058822,2330.0,apartment
Condo For Sale,187 16th Ave,San Francisco,CA,94118,905000.0,"2 bds , 1 ba , 892 sqft",https://www.zillow.com/homedetails/187-16th-Ave-San-Francisco-CA-94118/116157005_zpid/,2.0,1.0,892.0,condo
Condo For Sale,3330 Clay St # A,San Francisco,CA,94118,629000.0,"1 bd , 1 ba , 568 sqft",https://www.zillow.com/homedetails/3330-Clay-St-A-San-Francisco-CA-94118/2091702607_zpid/,1.0,1.0,568.0,condo
Coming Soon,4 15th Ave,San Francisco,CA,94118,1950000.0,"3 bds , 2 ba , 1,900 sqft",https://www.zillow.com/homedetails/4-15th-Ave-San-Francisco-CA-94118/64971464_zpid/,3.0,2.0,1900.0,coming
Condo For Sale,690 Spruce St APT 102,San Francisco,CA,94118,999000.0,"1 bd , 2 ba , 925 sqft",https://www.zillow.com/homedetails/690-Spruce-St-APT-102-San-Francisco-CA-94118/2091594657_zpid/,1.0,2.0,925.0,condo
House For Sale,447 11th Ave,San Francisco,CA,94118,2239000.0,"4 bds , 3.5 ba , 2,800 sqft",https://www.zillow.com/homedetails/447-11th-Ave-San-Francisco-CA-94118/15094227_zpid/,4.0,3.5,2800.0,house
Apartment For Sale,1926 Anza St,San Francisco,CA,94118,2295000.0,"Studio , -- ba , 4,210 sqft",https://www.zillow.com/homedetails/1926-Anza-St-San-Francisco-CA-94118/2091817814_zpid/,0.0,1.9903492647058822,4210.0,apartment
House For Sale,506 Eureka St,San Francisco,CA,94114,2488000.0,"3 bds , 4 ba , 2,168 sqft",https://www.zillow.com/homedetails/506-Eureka-St-San-Francisco-CA-94114/15130916_zpid/,3.0,4.0,2168.0,house
Condo For Sale,2 Flint St # 3,San Francisco,CA,94114,1095000.0,"2 bds , 1 ba , 785 sqft",https://www.zillow.com/homedetails/2-Flint-St-3-San-Francisco-CA-94114/2090713264_zpid/,2.0,1.0,785.0,condo
House For Sale,395 Eureka St,San Francisco,CA,94114,1600000.0,"3 bds , 2 ba , 1,600 sqft",https://www.zillow.com/homedetails/395-Eureka-St-San-Francisco-CA-94114/15130378_zpid/,3.0,2.0,1600.0,house
Condo For Sale,32 Flint St APT 3,San Francisco,CA,94114,1095000.0,"2 bds , 1 ba , 785 sqft",https://www.zillow.com/homedetails/32-Flint-St-APT-3-San-Francisco-CA-94114/111716008_zpid/,2.0,1.0,785.0,condo
